model,miss_type,rank,rebalance_date,holding_start,holding_end,predicted_vol,realized_vol,forecast_error
sample,largest_underprediction,1,2020-02-28,2020-03-02,2020-03-31,0.1041791373322134,0.9335446465890118,-0.8293655092567984
sample,largest_underprediction,2,2025-03-31,2025-04-01,2025-04-30,0.0892371014986226,0.2807359016149016,-0.1914988001162789
sample,largest_underprediction,3,2018-01-31,2018-02-01,2018-02-28,0.0746825600276981,0.2470841105108562,-0.172401550483158
sample,largest_underprediction,4,2015-07-31,2015-08-03,2015-08-31,0.0972929935966034,0.2446569264112386,-0.1473639328146352
sample,largest_underprediction,5,2020-03-31,2020-04-01,2020-04-30,0.1927452730578809,0.3230850191409543,-0.1303397460830733
sample,largest_overprediction,1,2021-09-30,2021-10-01,2021-10-29,0.2089514952854515,0.0801121809281541,0.1288393143572974
sample,largest_overprediction,2,2021-05-28,2021-06-01,2021-06-30,0.2103016178557139,0.0823733802108696,0.1279282376448442
sample,largest_overprediction,3,2021-07-30,2021-08-02,2021-08-31,0.2098891790640775,0.0879103956088134,0.1219787834552641
sample,largest_overprediction,4,2021-06-30,2021-07-01,2021-07-30,0.2100018021761032,0.0935968539800952,0.116404948196008
sample,largest_overprediction,5,2021-03-31,2021-04-01,2021-04-30,0.2100429216970264,0.0939232733932511,0.1161196483037752
ewma,largest_underprediction,1,2020-02-28,2020-03-02,2020-03-31,0.1859820531309699,0.8940033463079557,-0.7080212931769858
ewma,largest_underprediction,2,2025-03-31,2025-04-01,2025-04-30,0.0909316890798405,0.2843745173622262,-0.1934428282823856
ewma,largest_underprediction,3,2018-01-31,2018-02-01,2018-02-28,0.0514071718241756,0.2427876241273009,-0.1913804523031253
ewma,largest_underprediction,4,2020-01-31,2020-02-03,2020-02-28,0.0488221728209005,0.2165215452336933,-0.1676993724127927
ewma,largest_underprediction,5,2015-07-31,2015-08-03,2015-08-31,0.0856837811899237,0.2455566050187023,-0.1598728238287785
ewma,largest_overprediction,1,2020-03-31,2020-04-01,2020-04-30,0.5974610682658669,0.3192721616878523,0.2781889065780146
ewma,largest_overprediction,2,2020-04-30,2020-05-01,2020-05-29,0.3892183217004469,0.1596741216359309,0.229544200064516
ewma,largest_overprediction,3,2020-06-30,2020-07-01,2020-07-31,0.2100180247033442,0.106138405324502,0.1038796193788422
ewma,largest_overprediction,4,2025-05-30,2025-06-02,2025-06-30,0.1322555788935294,0.0823053684537069,0.0499502104398224
ewma,largest_overprediction,5,2018-12-31,2019-01-02,2019-01-31,0.1687042799686362,0.1230525599759755,0.0456517199926606
ledoit_wolf,largest_underprediction,1,2020-02-28,2020-03-02,2020-03-31,0.1032766084927572,0.9330721567449364,-0.8297955482521792
ledoit_wolf,largest_underprediction,2,2025-03-31,2025-04-01,2025-04-30,0.0884193201400445,0.2841699358200577,-0.1957506156800132
ledoit_wolf,largest_underprediction,3,2018-01-31,2018-02-01,2018-02-28,0.0738562589241815,0.2477069239028423,-0.1738506649786607
ledoit_wolf,largest_underprediction,4,2015-07-31,2015-08-03,2015-08-31,0.0961886348886471,0.2446895014113131,-0.1485008665226659
ledoit_wolf,largest_underprediction,5,2020-03-31,2020-04-01,2020-04-30,0.1877817141392758,0.3222696169449111,-0.1344879028056352
ledoit_wolf,largest_overprediction,1,2021-09-30,2021-10-01,2021-10-29,0.205102826663045,0.080282982870692,0.124819843792353
ledoit_wolf,largest_overprediction,2,2021-05-28,2021-06-01,2021-06-30,0.2064915703318353,0.0824190163177694,0.1240725540140659
ledoit_wolf,largest_overprediction,3,2021-07-30,2021-08-02,2021-08-31,0.2061250134797683,0.0879734197192785,0.1181515937604897
ledoit_wolf,largest_overprediction,4,2021-06-30,2021-07-01,2021-07-30,0.2061899566886078,0.0937856911226844,0.1124042655659234
ledoit_wolf,largest_overprediction,5,2021-03-31,2021-04-01,2021-04-30,0.2062112233286671,0.0940192452822675,0.1121919780463996
